172.20.0.1 - - [20/Aug/2026:13:55:41 +0000] "GET /backup.tar.gz HTTP/1.1" 200 6537 "-" "Nikto/2.5.0"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /tmp HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /administrator HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /config.php HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /configuration.php HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /config.php HTTP/1.1" 200 0 "-" "Nikto/2.5.0"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /.git/HEAD HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /tmp HTTP/1.1" 200 0 "-" "Nikto/2.5.0"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /admin/login HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /phpmyadmin HTTP/1.1" 200 0 "-" "Nikto/2.5.0"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /old HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /.git/config HTTP/1.1" 200 0 "-" "ffuf/2.1.0"

